District Name;Constituency Name;;Ward Name;Centre Code;Centre Name;Polling Station;Number Of Registred Voters;Null And Void;Total Number Voted;"LAZARUS
CHAKWERA (MCP)";"PETER  DOMINICO SINOSI DRIVER
KUWANI (MMD)";"ARTHUR PETER
MUTHARIKA (DPP)"
;;;;06431;Machamira School;PS1;640;7;439;401;4;27
;;;;06432;Kanthete School;PS1;719;7;425;375;6;37
;;;;06433;Ewombeni School;PS1;809;2;559;526;5;26
;;;;06554;Mfula School;PS1;558;5;386;356;3;22
;;;Kapopo;06434;Mzoma School;PS1;798;5;549;481;5;58
;;;;06435;Mhlafuta School;PS1;1,151;1;365;344;6;14
;;;;;;PS2;1,151;3;372;340;5;24
;;;;06436;Kaluwe School;PS1;1,066;6;332;276;1;49
;;;;;;PS2;1,066;2;299;228;7;62
;;;;06437;Mtuzuzu School;PS1;1,406;5;432;381;2;44
;;;;;;PS2;1,406;11;422;355;7;49
;;;;06438;Chizimia School;PS1;728;4;498;476;4;14
;;;;06439;Kalikumbi School;PS1;1,069;0;362;331;3;28
;;;;;;PS2;1,069;3;393;358;6;26
;;;;06440;Berere School;PS1;735;0;522;501;4;17
;;;;06441;Kamuntchenja School;PS1;1,223;9;401;332;9;51
;;;;;;PS2;1,223;3;414;378;7;26
;;;;06442;Zwangendaba School;PS1;1,227;5;422;373;5;39
;;;;;;PS2;1,227;1;428;379;10;38
;;;;06443;Kaulira School;PS1;781;5;500;419;18;58
;;;;06444;Chafisi School;PS1;916;4;608;536;9;59
;;;;06445;Kasukanthanga School;PS1;775;3;539;511;9;16
;;;;06446;Kamalibwe School;PS1;1,091;7;359;301;6;45
;;;;;;PS2;1,091;2;372;327;4;39
;;;;06447;Wachitangachi School;PS1;632;5;395;379;4;7
;;;;06448;Mlazamira;PS1;454;3;262;241;6;12
;;;;06449;Chifwefwe;PS1;432;4;300;281;3;12
;;;;06450;Nthundu;PS1;572;2;298;247;15;34
;Mzimba South East;;Khonsolo North;06451;Kapita;PS1;696;0;390;360;7;23
;;;;06452;Kamubale School;PS1;838;4;535;388;12;131
;;;;06453;Kabena School;PS1;589;2;392;351;5;34
;;;;06454;Msambanyifwa School;PS1;628;7;450;382;3;58
;;;;06455;Msese School;PS1;1,107;4;322;291;2;25
;;;;;;PS2;1,107;2;331;295;7;27
;;;;06456;Kabiza School;PS1;367;1;277;226;4;46
;;;;06457;Chisambo School;PS1;557;1;371;277;9;84
;;;;06458;Kachere School;PS1;636;7;421;375;6;33
;;;;06459;Ng'ombechinda CDSS;PS1;1,029;5;353;294;3;51
;;;;;;PS2;1,029;1;349;308;6;34
;;;;06460;Chizani School;PS1;486;4;397;327;3;63
;;;;06461;Unyolo School;PS1;628;2;492;451;5;34
;;;;06462;Chindenga School;PS1;460;7;328;216;3;102
;;;;06463;Mulewezi School;PS1;782;1;495;443;7;44
;;;;06464;Chimphonde School;PS1;568;0;303;234;6;63
;;;;06476;Mazanga School;PS1;401;2;254;201;4;47
;;;;06478;Makhuwila School;PS1;606;4;468;378;4;82
;;;;06555;Lukulu School;PS1;340;0;285;269;4;12
;;;;06556;Mukumbanjala School;PS1;151;0;125;111;1;13
;;;;06557;Kanonono School;PS1;447;3;316;261;6;46
;;;;06558;Kajombo School;PS1;315;3;243;209;8;23
;;;Khonsolo South;06465;Kanjuchi School;PS1;866;0;599;491;6;102
;;;;06466;Mkoma School;PS1;1,176;3;385;325;1;56
;;;;;;PS2;1,176;2;371;315;2;52
;;;;06467;Mgoza School;PS1;841;4;425;309;2;110
;;;;06468;Mphalapala School;PS1;285;1;152;113;1;37
;;;;06469;Kabuwa School;PS1;1,020;1;249;162;2;84
;;;;;;PS2;1,020;1;298;227;3;67
;;;;06470;Chanombo School;PS1;301;1;147;100;2;44
;;;;06471;Kawaliwali School;PS1;202;1;136;118;0;17
;;;;06472;Chigumba School;PS1;637;2;406;371;6;27
;;;;06473;Moyoka School;PS1;776;0;428;370;0;58
;;;;06474;Molozi School;PS1;711;2;432;379;3;48
;;;;06475;Chikuka School;PS1;451;4;279;231;0;44
;;;;06477;Chamalala School;PS1;387;1;179;156;2;20
;;;;06559;Makunguni School;PS1;222;2;118;101;1;14
;;;;06560;Kambulauzi School;PS1;296;2;132;94;0;36
;;;;06561;Kalalato School;PS1;906;7;613;514;3;89
;;;;06562;Makonje School;PS1;305;2;199;165;2;30
;;;;06563;Kachenga School;PS1;402;2;258;231;1;24
Kasungu;Kasungu North;;Nthembwe;07001;Mathandani School;PS1;1,207;2;366;335;3;26
;;;;;;PS2;1,207;4;390;361;1;24
;;;;07002;Chisemphere School;PS1;1,169;4;378;331;2;41
;;;;;;PS2;1,169;1;385;344;7;33
;;;;07003;Chimbilanjala School;PS1;1,294;1;441;349;5;86
;;;;;;PS2;1,294;2;429;347;3;77
;;;;07004;Nthembwe School;PS1;1,517;2;512;456;5;49
;;;;;;PS2;1,517;2;511;462;2;45
;;;;07005;Chipata School;PS1;843;5;549;494;4;46
;;;;07006;Kamwalembo School;PS1;1,200;4;390;320;3;63
;;;;;;PS2;1,200;2;399;346;4;47
;;;;07007;Kanyata School;PS1;791;6;499;428;9;56
;;;;07008;Kavikula School;PS1;1,690;3;476;419;4;50
;;;;;;PS2;1,690;12;506;425;6;63
;;;;07009;Chimaliro School;PS1;701;6;434;345;10;73
;;;;07232;Nkhamenya Boys School;PS1;2,172;2;492;436;1;53
;;;;;;PS2;2,172;3;475;402;0;70
;;;;;;PS3;2,172;0;468;398;1;69
;;;;07233;Matipa School;PS1;610;4;458;425;3;26
;;;;07234;Mthabama School;PS1;627;8;404;324;9;63
;;;;07235;Kamilaza school;PS1;641;5;368;313;4;46
;;;Lodjwa;07010;Lodjwa School;PS1;1,637;2;561;515;4;40
;;;;;;PS2;1,637;4;552;502;3;43
;;;;07011;Kakwale School;PS1;857;5;590;397;3;185
;;;;07012;Kamdidi School;PS1;1,119;4;328;229;3;92
;;;;;;PS2;1,119;1;331;225;4;101
;;;;07013;Nkhakama School;PS1;965;2;657;607;3;45
;;;;07014;Kavidebwere School;PS1;974;1;652;497;4;150
;;;;07015;Kapirinyanga School;PS1;1,105;1;343;260;2;80
;;;;;;PS2;1,105;2;333;251;2;78
;;;;07016;Mneni School;PS1;867;1;499;414;10;74
;;;;07017;Emphundwini School;PS1;582;3;341;282;2;54
;;;;07236;Kaswadongo School;PS1;585;7;388;293;5;83
;Kasungu North North East;;Mpeni;07018;Kawiya School;PS1;1,453;3;454;388;2;61
;;;;;;PS2;1,453;2;488;397;2;87
;;;;07019;Milenje School;PS1;1,200;2;340;281;3;54
;;;;;;PS2;1,200;2;330;275;2;51
;;;;07020;Mafumphizi School;PS1;820;0;478;427;5;46
;;;;07021;Chamakala School;PS1;1,440;1;450;359;5;85
;;;;;;PS2;1,440;6;405;316;4;79
;;;;07022;Chamunya School;PS1;879;6;557;468;4;79
;;;;07023;Sopani School;PS1;1,399;0;432;353;4;75
;;;;;;PS2;1,399;5;426;345;3;73
;;;;07024;Kanthenga School;PS1;927;7;567;508;1;51
;;;;07025;Lwangwa School;PS1;1,351;9;431;392;2;28
;;;;;;PS2;1,351;9;402;352;1;40
;;;;07026;Ndanowa School;PS1;1,144;1;362;295;5;61
;;;;;;PS2;1,144;6;364;302;3;53
;;;;07027;Chenjewazi School;PS1;873;2;572;495;2;73
;;;;07028;Chatoloma School;PS1;1,944;1;618;509;0;108
;;;;;;PS2;1,944;2;590;461;3;124
;;;;07029;Kadweya School;PS1;855;4;534;404;7;119
;;;;07030;Chikwawa School;PS1;1,023;3;365;341;1;20
;;;;;;PS2;1,023;2;357;331;1;23
;;;;07031;Kalimanyungu School;PS1;1,185;0;392;334;3;55
;;;;;;PS2;1,185;5;389;338;2;44
;;;;07032;Bowe School;PS1;883;4;519;441;3;71
;;;;07033;Vilingowe School;PS1;477;4;291;219;4;64
;;;;07034;Jati School;PS1;1,218;1;366;338;1;26
;;;;;;PS2;1,218;1;390;360;4;25
;;;;07237;Thupa School;PS1;539;1;321;262;1;57
;;;;07238;Mkomazi School;PS1;990;4;651;556;3;88
;;;Mthabua;07035;Mkanakhoti School;PS1;1,817;5;645;586;1;53
;;;;;;PS2;1,817;5;642;594;3;40
;;;;07036;Chiwinga School;PS1;620;13;381;334;1;33
;;;;07037;Mthabua School;PS1;1,472;5;505;463;3;34
;;;;;;PS2;1,472;1;472;439;3;29
;;;;07038;Kapululu School;PS1;1,192;1;388;357;2;28
;;;;;;PS2;1,192;6;382;338;3;35
;;;;07039;Chimwa School;PS1;1,303;4;428;321;4;99
;;;;;;PS2;1,303;15;441;335;2;89
;;;;07040;Kavipini School;PS1;939;3;644;463;1;177
;;;;07041;Thasa School;PS1;883;2;561;524;3;32
;;;;07042;Kamchocho School;PS1;1,019;4;344;260;4;76
;;;;;;PS2;1,019;2;348;268;2;76
;;;;07043;Nkhuta School;PS1;1,167;3;372;342;1;26
;;;;;;PS2;1,167;7;394;362;1;24
;;;;07044;Kasambankhole School;PS1;900;6;615;568;5;36
;;;;07045;Manjondo School;PS1;799;2;499;440;3;54
;;;;07239;Kasumba School;PS1;926;2;616;493;6;115
;Kasungu West;;Lisasadzi;07046;Kalanga School;PS1;1,101;4;354;305;0;45
;;;;;;PS2;1,101;1;344;318;1;24
;;;;07047;Misozi School;PS1;2,164;6;560;533;1;20
;;;;;;PS2;2,164;1;542;506;1;34
;;;;;;PS3;2,164;3;560;536;2;19
;;;;07048;Malepela School;PS1;1,469;2;515;423;2;88
;;;;;;PS2;1,469;5;518;436;0;77
;;;;07049;Nthunduwala School;PS1;1,745;7;601;554;3;37
;;;;;;PS2;1,745;2;596;565;1;28
;;;;07050;Kamboni School;PS1;1,136;0;378;301;5;72
;;;;;;PS2;1,136;5;358;312;2;39
;;;;07051;Munye School;PS1;744;1;534;461;1;71
;;;;07052;Kantukungwa School;PS1;915;8;573;527;2;36
;;;;07053;Chipembere School;PS1;553;6;424;386;0;32
;;;;07054;Katete School;PS1;990;4;628;561;2;61
;;;;07055;Zenza School;PS1;945;4;693;617;1;71
;;;;07056;Chakhala School;PS1;832;5;588;553;1;29
;;;;07057;Kakhome School;PS1;829;6;579;559;5;9
;;;;07058;Mbambawa School;PS1;848;4;527;487;5;31
;;;;07059;Chamatete School;PS1;1,310;3;447;399;3;42
;;;;;;PS2;1,310;7;452;407;5;33
;;;;07060;Mwimba School;PS1;1,092;10;388;353;2;23
;;;;;;PS2;1,092;2;410;389;2;17
;;;;07061;Chitunthika School;PS1;1,344;6;477;458;0;13
;;;;;;PS2;1,344;4;476;460;2;10
;;;;07062;Kalolo School;PS1;1,786;2;646;599;3;42
;;;;;;PS2;1,786;5;651;609;0;37
;;;;07063;Lisandwa School;PS1;1,159;3;350;319;1;27
;;;;;;PS2;1,159;6;358;328;2;22
;;;;07064;Zumani School;PS1;970;8;700;669;4;19
;;;;07065;Kawande School;PS1;361;2;208;198;0;8
;;;;07133;Kasera Trading Centre;PS1;937;8;697;596;5;88
;;;;07240;Chang'ombe School;PS1;647;3;470;449;2;16
;;;;07241;Chidzumbi School;PS1;512;5;328;275;2;46
;;;;07242;Nkhwali School;PS1;582;4;401;379;0;18
;;;;07243;Kaziwa School;PS1;839;8;590;532;3;47
;;;;07244;Chankhandwe School;PS1;543;6;376;330;3;37
;;;Lifupa;07066;Kaphaizi School;PS1;1,012;2;380;352;1;25
;;;;;;PS2;1,012;4;364;334;2;24
;;;;07067;Linyangwa School;PS1;1,242;2;420;363;1;54
;;;;;;PS2;1,242;4;413;362;4;43
;;;;07068;Chankhozi School;PS1;1,786;3;636;561;1;71
;;;;;;PS2;1,786;10;628;546;0;72
;;;;07069;Hanock Msokera School;PS1;787;4;580;514;1;61
;;;;07070;Kamswachenje School;PS1;1,146;2;380;340;1;37
;;;;;;PS2;1,146;1;375;334;3;37
;;;;07071;Katchereza School;PS1;1,009;6;641;570;1;64
;;;;;;PS2;1,009;1;98;87;0;10
;;;;07072;Chidongo School;PS1;933;4;663;585;4;70
;;;;07073;Chiputu School;PS1;615;0;405;388;1;16
;;;;07074;Lifupa School;PS1;156;0;98;76;4;18
;;;;07075;Chimatiro School;PS1;1,157;5;412;344;2;61
;;;;;;PS2;1,157;0;425;351;0;74
;;;;07076;Changuluwe School;PS1;1,526;6;508;460;2;40
;;;;;;PS2;1,526;6;497;442;1;48
;;;;07077;Chasomba School;PS1;1,201;5;397;333;3;56
;;;;;;PS2;1,201;3;412;350;4;55
;;;;07078;Chalowa School;PS1;1,273;2;442;410;1;29
;;;;;;PS2;1,273;1;445;411;1;32
;;;;07079;Kalimazitche School;PS1;623;5;415;345;1;64
;;;;07080;Chibwe School;PS1;1,426;4;516;452;1;59
;;;;;;PS2;1,426;1;540;501;1;37
;;;;07081;Chidzenje School;PS1;1,228;2;454;382;2;68
;;;;;;PS2;1,228;4;438;360;1;73
;;;;07245;Kafukule CDSS;PS1;991;4;642;501;5;132
;Kasungu South;;Chigodi;07099;Kawata School;PS1;1,734;4;624;609;1;10
;;;;;;PS2;1,734;8;663;644;3;8
;;;;07100;Kasanduliza School;PS1;513;1;389;352;2;34
;;;;07101;Nkhono School;PS1;954;11;712;685;3;13
;;;;07102;Chigodi School;PS1;1,873;14;712;664;0;34
;;;;;;PS2;1,873;19;708;655;1;33
;;;;07103;Mtoso School;PS1;801;3;563;523;1;36
;;;;07104;Makanda School;PS1;1,557;11;603;570;4;18
;;;;;;PS2;1,557;6;610;586;1;17
;;;;07105;Chigandwa School;PS1;1,375;1;557;546;0;10
;;;;;;PS2;1,375;7;547;529;0;11
;;;;07106;Mkhota School;PS1;2,389;4;615;566;4;41
;;;;;;PS2;2,389;5;621;576;3;37
;;;;;;PS3;2,389;16;643;591;0;36
;;;;07107;Chipoza School;PS1;2,511;3;637;533;4;97
;;;;;;PS2;2,511;0;633;547;2;84
;;;;;;PS3;2,511;10;637;567;2;58
;;;;07108;Bindu School;PS1;1,512;11;579;547;4;17
;;;;;;PS2;1,512;2;567;542;2;21
;;;;07109;Mkomachilolo School;PS1;680;3;524;506;2;13
;;;;07110;Kalimira School;PS1;984;11;807;715;2;79
;;;;07111;Mdima School;PS1;998;3;769;718;2;46
;;;;07112;Chimbalame School;PS1;667;9;522;495;4;14
;;;;07113;Machecheta School;PS1;708;5;533;509;1;18
;;;;07114;Mkumbaleza School;PS1;640;2;504;492;0;10
;;;;07253;Kantimbo School;PS1;754;5;586;569;0;12
;;;;07254;Mtombozi School;PS1;719;3;517;505;1;8
;;;;07255;Mkoko School;PS1;1,183;1;415;381;3;30
;;;;;;PS2;1,183;10;396;346;4;36
;;;Rusa;07115;Ntchendamano School;PS1;953;10;691;665;1;15
;;;;07116;Longwe School;PS1;899;13;653;623;1;16
;;;;07117;Chaima School;PS1;1,253;4;469;420;3;42
;;;;;;PS2;1,253;2;497;454;0;41
;;;;07118;Nyaza School;PS1;1,048;0;366;347;0;19
;;;;;;PS2;1,048;1;381;352;2;26
;;;;07119;Chikande School;PS1;893;6;643;595;1;41
;;;;07120;Mgumila School;PS1;722;2;530;504;2;22
;;;;07121;Nyemba School;PS1;838;5;596;556;4;31
;;;;07122;Kavumbiri School;PS1;638;5;471;458;0;8
;;;;07123;Chafisi School;PS1;654;3;449;416;3;27
;;;;07124;Khola School;PS1;699;6;477;410;1;60
;;;;07125;Kaungwe School;PS1;963;2;638;562;3;71
;;;;07126;Kombe School;PS1;631;5;403;349;5;44
;;;;07127;Mndewe School;PS1;1,052;2;347;336;1;8
;;;;;;PS2;1,052;3;348;337;0;8
;;;;07128;Mbwambwa School;PS1;466;1;353;341;0;11
;;;;07129;Sinde School;PS1;505;0;360;352;1;7
;;;;07130;Kakota School;PS1;440;2;335;321;0;12
;;;;07131;Mpeka School;PS1;1,014;0;372;364;0;8
;;;;;;PS2;1,014;3;374;356;3;12
;;;;07132;Santhe Private School;PS1;508;6;324;308;1;9
;;;;07256;Kapirintiwa School;PS1;1,002;10;364;336;1;17
;;;;;;PS2;1,002;2;361;329;2;28
;;;;07257;Chitu School;PS1;581;3;421;383;6;29
;;;;07258;Madzidzi School;PS1;293;0;212;199;1;12
;;;;07259;Kakuyu School;PS1;595;1;490;467;0;22
;;;;07260;Chafumbulula School;PS1;597;5;444;413;1;25
;Kasungu South East;;Mziza;07134;Dunda School;PS1;1,662;6;541;503;1;31
;;;;;;PS2;1,662;3;511;477;4;27
;;;;07135;Dambo School;PS1;607;4;435;403;0;28
;;;;07136;Mphowe School;PS1;1,627;3;574;546;2;23
;;;;;;PS2;1,627;12;573;537;3;21
;;;;07137;Chatalala School;PS1;759;3;583;552;2;26
;;;;07138;Manyani School;PS1;1,183;1;397;375;1;20
;;;;;;PS2;1,183;6;393;362;1;24
;;;;07139;Kanjoka School;PS1;1,301;4;478;449;2;23
;;;;;;PS2;1,301;4;467;449;1;13
;;;;07140;Chinkhoma School;PS1;4,038;3;585;542;1;39
;;;;;;PS2;4,038;0;536;479;2;55
;;;;;;PS3;4,038;7;556;497;2;50
;;;;;;PS4;4,038;2;570;518;1;49
;;;;;;PS5;4,038;8;570;529;3;30
;;;;07141;Kanganjobvu School;PS1;1,648;0;633;561;2;70
;;;;;;PS2;1,648;5;610;522;2;81
;;;;07142;Thondolo School;PS1;700;7;528;452;0;69
;;;;07143;Mziza School;PS1;880;6;650;584;2;58
;;;;07261;Kachembwe  school;PS1;789;4;549;505;1;39
;;;;07262;Chideza school;PS1;952;10;672;609;6;47
;;;;07263;Vyivya School;PS1;1,046;7;372;351;1;13
;;;;;;PS2;1,046;4;359;337;1;17
;;;;07264;Chabuula School;PS1;456;4;318;296;0;18
;;;Chibophi;07144;Chitenje School;PS1;1,367;5;458;407;2;44
;;;;;;PS2;1,367;1;490;427;4;58
;;;;07145;Mitula School;PS1;1,196;2;460;440;1;17
;;;;;;PS2;1,196;5;438;412;2;19
;;;;07146;Kadifula School;PS1;1,716;0;609;568;1;40
;;;;;;PS2;1,716;6;584;551;1;26
;;;;07147;Chamwabvi School;PS1;1,208;8;443;384;2;49
;;;;;;PS2;1,208;4;426;384;1;37
;;;;07148;Kalulu School;PS1;1,150;7;397;374;1;15
;;;;;;PS2;1,150;2;400;369;1;28
;;;;07149;Chambwe School;PS1;1,403;4;528;490;1;33
;;;;;;PS2;1,403;4;520;488;1;27
;;;;07150;Magawa School;PS1;895;7;604;558;6;33
;;;;07151;Chasato School;PS1;516;4;401;384;1;12
;;;;07152;Chipholi School;PS1;1,004;3;378;356;0;19
;;;;;;PS2;1,004;2;377;361;0;14
;;;;07153;Thimbi School;PS1;1,356;8;504;460;2;34
;;;;;;PS2;1,356;2;502;464;1;35
;;;;07154;Misuku School;PS1;870;4;680;640;1;35
;;;;07155;Katuta School;PS1;1,097;7;383;358;0;18
;;;;;;PS2;1,097;4;377;360;1;12
;;;;07156;Vyeyo School;PS1;952;5;591;542;0;44
;;;;07265;Chidimba School;PS1;478;7;290;189;3;91
;;;;07268;Mayala School;PS1;791;5;552;515;1;31
;Kasungu East;;Kachokolo;07157;Kachokolo School;PS1;1,944;8;667;561;6;92
;;;;;;PS2;1,944;11;699;583;8;97
;;;;07158;Mtunthama School;PS1;4,221;4;607;526;1;76
;;;;;;PS2;4,221;1;624;510;2;111
;;;;;;PS3;4,221;2;614;497;3;112
;;;;;;PS4;4,221;2;630;541;2;85
;;;;;;PS5;4,221;2;604;501;4;97
;;;;07159;Sankhula School;PS1;1,492;2;474;419;2;51
;;;;;;PS2;1,492;2;483;435;2;44
;;;;07160;Kayereka School;PS1;963;12;664;596;7;49
;;;;07161;Msiwa School;PS1;981;6;701;660;3;32
;;;;07162;Thandaza School;PS1;980;2;671;640;1;28
;;;;07163;Nthema School;PS1;850;10;537;442;2;83
;;;;07164;Chilembwe School;PS1;1,807;5;664;628;5;26
;;;;;;PS2;1,807;4;617;588;3;22
;;;;07165;Guchi School;PS1;741;1;499;464;7;27
;;;;07166;Chimbowe School;PS1;1,507;0;508;476;1;31
;;;;;;PS2;1,507;4;534;507;1;22
;;;;07167;Mbonekera School;PS1;1,053;2;336;317;0;17
;;;;;;PS2;1,053;1;351;335;0;15
;;;;07168;Tchesa School;PS1;1,974;4;650;603;6;37
;;;;;;PS2;1,974;2;631;582;3;44
;;;;07169;Chimwang'ombe;PS1;1,098;3;358;300;4;51
;;;;;;PS2;1,098;2;365;316;1;46
;;;;07170;Liwala;PS1;2,236;1;531;480;2;48
;;;;;;PS2;2,236;3;524;456;1;64
;;;;;;PS3;2,236;1;515;471;2;41
;;;;07269;Chambidzi School;PS1;1,306;2;456;386;1;67
;;;;;;PS2;1,306;2;432;367;2;61
;;;;07270;Mchezi School;PS1;685;1;337;241;0;95
;;;;07271;Vyaka School;PS1;663;1;458;429;8;20
;;;;07272;Chanthunthu School;PS1;506;2;352;318;2;30
;;;Kambira;07171;Chamama School;PS1;1,883;5;685;646;1;33
;;;;;;PS2;1,883;8;704;670;1;25
;;;;07172;Dwalala School;PS1;789;10;567;516;4;37
;;;;07173;Livwezi School;PS1;2,374;6;540;508;2;24
;;;;;;PS2;2,374;10;526;491;0;25
;;;;;;PS3;2,374;2;514;495;0;17
;;;;07174;Vigando School;PS1;1,028;1;370;349;0;20
;;;;;;PS2;1,028;0;363;349;1;13
;;;;07175;Kambira School;PS1;1,892;3;671;632;3;33
;;;;;;PS2;1,892;5;684;634;0;45
;;;;07176;Chalizya School;PS1;868;6;602;537;2;57
;;;;07177;Chankhokwe School;PS1;658;1;443;414;4;24
;;;;07178;Mtenthera School;PS1;807;4;499;485;3;7
;;;;07179;Chigumba School;PS1;2,074;8;444;415;0;21
;;;;;;PS2;2,074;3;460;438;0;19
;;;;;;PS3;2,074;4;468;450;0;14
;;;;07180;Dwankhwali School;PS1;915;7;603;560;4;32
;;;;07181;Kavuwa School;PS1;890;6;538;463;3;66
;;;;07273;Chintchinda school;PS1;1,138;0;419;411;1;7
;;;;;;PS2;1,138;1;417;408;2;6
;;;;07274;Katope school;PS1;1,747;0;601;587;1;13
;;;;;;PS2;1,747;1;609;598;0;10
;;;;07275;Liziri school;PS1;1,265;3;457;415;1;38
;;;;;;PS2;1,265;0;442;410;1;31
;;;;07276;Mpongozipita;PS1;959;5;653;605;2;41
;Kasungu North East;;Ndonda;07214;Ng'ombe School;PS1;1,583;3;555;501;1;50
;;;;;;PS2;1,583;12;553;487;5;49
;;;;07215;Kamizu School;PS1;1,309;4;352;315;2;31
;;;;;;PS2;1,309;5;388;346;4;33
;;;;07216;Katozi School;PS1;1,447;6;564;498;2;58
;;;;;;PS2;1,447;7;526;467;4;48
;;;;07217;Thithimira School;PS1;683;2;474;417;0;55
;;;;07218;Zyalambe  School;PS1;2,089;2;500;422;4;72
;;;;;;PS2;2,089;2;500;426;3;69
;;;;;;PS3;2,089;5;489;410;1;73
;;;;07219;Chikoko School;PS1;912;3;595;557;1;34
;;;;07220;Damba School;PS1;814;4;567;503;1;59
;;;;07221;Kankhumbi School;PS1;529;2;373;361;3;7
;;;;07222;Ndonda School;PS1;801;3;574;531;2;38
;;;;07223;Kachere;PS1;724;3;525;439;0;83
;;;Mbongozi;07224;Jiti School;PS1;659;8;459;400;2;49
;;;;07225;Nthangwanika  School;PS1;421;1;280;271;1;7
;;;;07226;Chivwamila School;PS1;1,869;2;671;622;0;47
;;;;;;PS2;1,869;5;656;606;0;45
;;;;07227;Mthawira School;PS1;1,224;14;426;385;2;25
;;;;;;PS2;1,224;0;415;390;1;24
;;;;07228;Mchentche  School;PS1;876;3;626;599;2;22
;;;;07229;Mwalawamalemba School;PS1;502;4;313;288;1;20
;;;;07230;Ntanda School;PS1;492;5;310;290;1;14
;;;;07231;Mbongozi School;PS1;737;12;564;529;0;23
;Kasungu North West;;Mpasadzi;07082;Thawe School;PS1;1,321;6;432;352;6;68
;;;;;;PS2;1,321;4;412;350;3;55
;;;;07083;Kanyaza School;PS1;1,766;5;556;521;3;27
;;;;;;PS2;1,766;2;553;520;2;29
;;;;07084;Kasasanya School;PS1;1,932;13;625;544;5;63
;;;;;;PS2;1,932;14;628;542;4;68
;;;;07085;Chamkango School;PS1;1,715;2;561;510;3;46
;;;;;;PS2;1,715;9;512;450;4;49
;;;;07086;Nkhanga School;PS1;1,304;4;430;385;6;35
;;;;;;PS2;1,304;0;429;393;3;33
;;;;07087;Chimbwazi School;PS1;980;5;647;602;1;39
;;;;07088;Kapando School;PS1;614;2;360;287;7;64
;;;;07089;Makungwa School;PS1;1,221;5;406;342;5;54
;;;;;;PS2;1,221;7;397;341;4;45
;;;;07090;Lisitu School;PS1;1,701;10;593;536;5;42
;;;;;;PS2;1,701;4;542;501;8;29
;;;;07246;Kawiluwilu School;PS1;428;4;277;234;3;36
;;;;07247;Kanolo School;PS1;1,045;5;347;283;0;59
;;;;;;PS2;1,045;1;329;277;2;49
;;;Matenje;07091;Chulu School;PS1;1,792;7;591;520;4;60
;;;;;;PS2;1,792;6;564;511;4;43
;;;;07092;Mdekanjiwa School;PS1;1,380;5;407;314;3;85
;;;;;;PS2;1,380;3;388;313;6;66
;;;;07093;Miyowe School;PS1;886;9;520;449;0;62
;;;;07094;Kabvizinde School;PS1;2,192;1;416;369;0;46
;;;;;;PS2;2,192;4;379;327;1;47
;;;;;;PS3;2,192;3;385;345;1;36
;;;;07095;Kasamba School;PS1;1,370;0;443;406;4;33
;;;;;;PS2;1,370;1;420;394;0;25
;;;;07096;Kambulu School;PS1;1,447;4;481;435;2;40
;;;;;;PS2;1,447;4;464;427;1;32
;;;;07097;Juni School;PS1;1,314;6;413;379;4;24
;;;;;;PS2;1,314;2;428;396;2;28
;;;;07098;Mpapa School;PS1;466;7;319;288;1;23
;;;;07248;Chisuwe School;PS1;1,182;1;393;370;3;19
;;;;;;PS2;1,182;5;409;365;2;37
;;;;07249;Katundu School;PS1;833;12;510;414;7;77
;;;;07250;Kaviyombo School;PS1;883;3;539;455;10;71
;;;;07251;Demera School;PS1;1,025;7;362;312;4;39
;;;;;;PS2;1,025;3;341;309;3;26
;;;;07252;Kaliuli School;PS1;793;5;511;481;2;23
;Kasungu Central;;Chipala;07182;Chisumbu School;PS1;1,214;6;400;373;1;20
;;;;;;PS2;1,214;2;400;369;1;28
;;;;07183;Phanga School;PS1;1,163;3;416;366;3;44
;;;;;;PS2;1,163;4;392;358;0;30
;;;;07184;Lingadzi School;PS1;994;6;696;614;5;71
;;;;07185;Dwangwa School;PS1;1,234;3;447;397;0;47
;;;;;;PS2;1,234;5;426;360;4;57
;;;;07186;Chilinda School;PS1;772;4;530;469;2;55
;;;;07187;Suza School;PS1;1,678;14;611;537;4;56
;;;;;;PS2;1,678;3;574;505;0;66
;;;;07188;Chipanga School;PS1;1,763;6;668;559;0;103
;;;;;;PS2;1,763;5;688;592;0;91
;;;;07189;Khuza School;PS1;2,005;1;462;445;0;16
;;;;;;PS2;2,005;10;447;422;0;15
;;;;;;PS3;2,005;7;459;433;2;17
;;;;07190;Kamaliwa School;PS1;1,007;3;335;320;3;9
;;;;;;PS2;1,007;8;348;333;4;3
;;;;07191;Mnguzi School;PS1;1,013;3;340;311;1;25
;;;;;;PS2;1,013;3;310;287;1;19
;;;;07192;Chipwaila School;PS1;645;4;482;410;2;66
;;;;07193;Champhemvu School;PS1;915;10;639;583;6;40
;;;;07277;Katayanthona School;PS1;620;5;478;398;3;72
;;;;07278;Makwiniro School;PS1;1,046;4;410;347;4;55
;;;;;;PS2;1,046;4;383;323;3;53
;;;;07279;Kadansana School;PS1;662;9;349;295;3;42
;;;;07280;Tchapa School;PS1;1,276;5;464;417;1;41
;;;;;;PS2;1,276;1;436;402;4;29
;;;;07281;Matongwe School;PS1;489;5;344;317;1;21
;;;Mponda;07194;Kamuzu School;PS1;1,729;6;661;611;4;40
;;;;;;PS2;1,729;7;641;594;1;39
